University_Name,Country
Ghent University,BE
Aix Marseille University,FR
University of Montreal,CA
University of Mainz,DE
Toulouse Capitole University,FR
Northwest University,CN
Vita-Salute San Raffaele University,IT
Federal University of Rio Grande do Sul,BR
University of Campinas,BR
University of Seville,ES
University of La Laguna,ES
University of Salamanca,ES
University of Alicante,ES
University of Oviedo,ES
University of Vigo,ES
University of Wuerzburg,DE
Medical University of Vienna,AT
University of Bordeaux,FR
Western University,CA
University of Granada,ES
University of Lille,FR
Ghent University,BE
Aix Marseille University,FR
University of Montreal,CA
University of Mainz,DE
Toulouse Capitole University,FR
Northwest University,CN
Vita-Salute San Raffaele University,IT
Federal University of Rio Grande do Sul,BR
University of Campinas,BR
University of Seville,ES
University of La Laguna,ES
University of Salamanca,ES
University of Alicante,ES
University of Oviedo,ES
University of Vigo,ES
University of Wuerzburg,DE
Medical University of Vienna,AT
University of Bordeaux,FR
Western University,CA
University of Granada,ES
University of Lille,FR
Sao Paulo State University,BR
University of Navarra,ES
Medical University of Graz,AT
Bangor University,UK
University of Malaga,ES
University of Tennessee Health Science Center,US
University of Alcalá,ES
SUNY Downstate Health Sciences University,US
University of Poitiers,FR
University of Wuppertal,DE
PSL University,FR
University of Vienna,AT
University of Cologne,DE
University of Tuebingen,DE
Korea University,KR
Polytechnic University of Milan,IT
University of Porto,PT
RMIT University,AU
University of Potsdam,DE
Stony Brook University,US
Xidian University,CN
University of Halle-Wittenberg,DE
Saarland University,DE
Polytechnic University of Valencia,ES
Macau University of Science and Technology,CN
University of Aveiro,PT
University of Minho,PT
University of Konstanz,DE
Polytechnic University of Madrid,ES
Polytechnic University of Turin,IT
Naval Medical University,CN
Marche Polytechnic University,IT
Suzhou University of Science and Technology,CN
Army Medical University,CN
Taipei Medical University,TW
HSE University,RU
University of Brasília,BR
Polytechnic University of Catalonia,ES
University of Kassel,DE
Henan Polytechnic University,CN
Kaohsiung Medical University,TW
Sorbonne University,FR
Sapienza University of Rome,IT
University of Gothenburg,SE
University of São Paulo,BR
Goethe University Frankfurt,DE
University of Münster,DE
University of Hamburg,DE
University of Leipzig,DE
Trinity College Dublin,IE
University of Buenos Aires,AR
National Autonomous University of Mexico,MX
University of Lisbon,PT
Claude Bernard University Lyon 1,FR
University of Erlangen-Nuremberg,DE
RWTH Aachen University,DE
Complutense University of Madrid,ES
Albert Einstein College of Medicine,US
University of the Basque Country,ES
Autonomous University of Madrid,ES
China Medical University (Taichung),TW
Leibniz University Hannover,DE
Hannover Medical School,DE
CUNY Graduate School and University Center,US
University of Côte d'Azur,FR
University of Santiago Compostela,ES
Federal University of Minas Gerais,BR
Medical University of Innsbruck,AT
Federal University of Rio de Janeiro,BR
"University of Science, Malaysia",MY
"China University of Petroleum, Beijing",CN
Zhejiang Chinese Medical University,CN
Air Force Medical University,CN
Duke-NUS Medical School,SG
Prince Sattam Bin Abdulaziz University,SA
COMSATS University Islamabad,PK
University of Natural Resources and Life Sciences,AT
Humanitas University,IT
Pontifical Catholic University of Chile,CL
University of Concepción,CL
Nova University Lisbon,PT
Federal University of São Paulo,BR
University of Extremadura,ES
University of Sharjah,AE
Paris-East Créteil University,FR
University of Magdeburg,DE
University of Greifswald,DE
University Rovira i Virgili,ES
Federal University of Santa Catarina,BR
University of Castilla–La Mancha,ES
Federal University of Paraná,BR
Federal University of Santa Maria,BR
University Savoie Mont Blanc,FR
University of Quebec Montreal,CA
Czech University of Life Sciences Prague,CZ
Saveetha Institute of Medical and Technical Sciences,IN
Federal University of Viçosa,BR
University of Campania Luigi Vanvitelli,IT
University of Valladolid,ES
Roma Tre University,IT
Federal University of Goiás,BR
Federal University of Ceará,BR
Federal University of Pernambuco,BR
Federal University of Bahia,BR
Manipal Academy of Higher Education,IN
Guangdong Ocean University,CN
University of Kaiserslautern-Landau,DE
Iran University of Science & Technology,IR
Hassan II University of Casablanca,MA
Abdul Wali Khan University Mardan,PK
Northeastern University (Boston),US
University of Jena,DE
Gdańsk University of Technology,PL
